source,target,label
PGM_PSQ104,PGM_MQCLOSE,CALL
PGM_PSQ104,PGM_MQOPEN,CALL
PGM_PSQ104,PGM_MQPUT,CALL
PGM_PS011,FIL_&W-CTLFILE,READ
PGM_PS011,FIL_&W-CTLFILE,WRITE
PGM_PS011,FIL_MVSDEQ,CALL
PGM_PS011,FIL_MVSENQ,CALL
PGM_PS011,PGM_MVSDEQ,CALL
PGM_PS011,PGM_MVSENQ,CALL
PGM_PS011,PGM_PS013,LINK
PGM_PS011,PGM_PS014,LINK
PGM_PS011,PGM_PS020,LINK
PGM_PS011,PGM_PS061,LINK
PGM_PS011,TXN_&CTL-TAS-TRNSID,START-TRANSID
PGM_PS011,TXN_&W-TAS-TRNSID,START-TRANSID
PGM_PS013,PGM_PS061,LINK
PGM_PS014,FIL_MVSWTO,CALL
PGM_PS17,FIL_MVSRTN03,CALL
PGM_PS20,PGM_PS21,LINK
PGM_PS20,PGM_PS22,LINK
PGM_TP0002P,PGM_&WS-PGMID,XCTL
PGM_TP0002P,PGM_TP0003P,XCTL
PGM_TP0002P,PGM_TP0004P,LINK
PGM_TP0002P,PGM_TP0069P,LINK
PGM_TP0002P,PGM_TP8600R,LINK
PGM_TP0002P,PGM_TP8809R,LINK
PGM_TP0002P,TXN_TP0A,START-TRANSID
PGM_TP0003P,PGM_&WS-PGMID,XCTL
PGM_TP0003P,PGM_TP0005P,XCTL
PGM_TP0003P,PGM_TP0006P,XCTL
PGM_TP0004P,PGM_&WS-TZB005R-PROGID,CALL
PGM_TP0004P,PGM_RU802R,LINK
PGM_TP0004P,PGM_TP0054R,LINK
PGM_TP0004P,PGM_TP0058P,LINK
PGM_TP0004P,PGM_TP0059P,LINK
PGM_TP0004P,PGM_TP0060P,LINK
PGM_TP0004P,PGM_TP0061P,LINK
PGM_TP0004P,PGM_TP0062P,LINK
PGM_TP0004P,PGM_TP0065P,LINK
PGM_TP0004P,PGM_TP0067R,LINK
PGM_TP0004P,PGM_TP0068P,LINK
PGM_TP0004P,PGM_TP1010P,LINK
PGM_TP0004P,PGM_TP1011P,LINK
PGM_TP0004P,PGM_TP8621R,LINK
PGM_TP0004P,PGM_TP8629R,LINK
PGM_TP0004P,PGM_TP8632R,LINK
PGM_TP0004P,PGM_TYT08S,LINK
PGM_TP0005P,PGM_&WS-PGMID,XCTL
PGM_TP0005P,PGM_TP0020P,XCTL
PGM_TP0005P,PGM_TP0021P,XCTL
PGM_TP0005P,PGM_TP0095P,XCTL
PGM_TP0005P,PGM_TP0097P,XCTL
PGM_TP0005P,PGM_TP0098P,XCTL
PGM_TP0005P,PGM_TP0099P,XCTL
PGM_TP0010P,PGM_TP0004P,LINK
PGM_TP0020P,PGM_&WS-PGMID,XCTL
PGM_TP0020P,PGM_&WS-RUB806R,CALL
PGM_TP0020P,PGM_&WS-TZB005R-PROGID,CALL
PGM_TP0020P,PGM_RU802R,LINK
PGM_TP0020P,PGM_RU819R,LINK
PGM_TP0020P,PGM_TP0050R,LINK
PGM_TP0020P,PGM_TP0051R,LINK
PGM_TP0020P,PGM_TP0057R,LINK
PGM_TP0020P,PGM_TP0067R,LINK
PGM_TP0020P,PGM_TP0101P,LINK
PGM_TP0020P,PGM_TP8600R,LINK
PGM_TP0020P,PGM_TP8601R,LINK
PGM_TP0020P,PGM_TP8633R,LINK
PGM_TP0020P,PGM_TP8803R,LINK
PGM_TP0020P,PGM_TYT08S,LINK
PGM_TP0020P,PGM_TY217R,LINK
PGM_TP0021P,PGM_&WS-PGMID,XCTL
PGM_TP0021P,PGM_&WS-TZB005R-PROGID,CALL
PGM_TP0021P,PGM_RUB806R,CALL
PGM_TP0021P,PGM_RU802R,LINK
PGM_TP0021P,PGM_TP0050R,LINK
PGM_TP0021P,PGM_TP0051R,LINK
