source,target,label
PGM_TZCPIP,PGM_&WS-PROGID,XCTL
PGM_TZCPIP,PGM_TZ901R,LINK
PGM_TZCPIP,PGM_TZ902R,LINK
PGM_TZCPIP,PGM_TZ907R,LINK
PGM_TZCPIP,PGM_TZ914R,LINK
PGM_TZCPIP,PGM_TZ920R,LINK
PGM_TZCPIP,PGM_TZ935R,LINK
PGM_TZCPUCP,PGM_&WS-PROGID,XCTL
PGM_TZCPUCP,PGM_TZ901R,LINK
PGM_TZCPUCP,PGM_TZ902R,LINK
PGM_TZCPUCP,PGM_TZ907R,LINK
PGM_TZCPUCP,PGM_TZ914R,LINK
PGM_TZCPUCP,PGM_TZ920R,LINK
PGM_TZCPUCP,PGM_TZ935R,LINK
PGM_TZCPUOP,PGM_&WS-PROGID,XCTL
PGM_TZCPUOP,PGM_TZ901R,LINK
PGM_TZCPUOP,PGM_TZ902R,LINK
PGM_TZCPUOP,PGM_TZ907R,LINK
PGM_TZCPUOP,PGM_TZ909R,LINK
PGM_TZCPUOP,PGM_TZ935R,LINK
PGM_TZDDIP,PGM_&COM-ORIG-PROGID,XCTL
PGM_TZDDIP,PGM_TP0054R,LINK
PGM_TZDDIP,PGM_TZOCDP,XCTL
PGM_TZDDIP,PGM_TZOODP,XCTL
PGM_TZDDIP,PGM_TZT52S,LINK
PGM_TZDDIP,PGM_TZ051R,LINK
PGM_TZDDIP,PGM_TZ550P,XCTL
PGM_TZDDIP,PGM_TZ901R,LINK
PGM_TZDDIP,PGM_TZ902R,LINK
PGM_TZDDIP,PGM_TZ933R,LINK
PGM_TZDDIP,PGM_TZ935R,LINK
PGM_TZDDIP,PGM_TZ951R,LINK
PGM_TZDMMP,PGM_&WS-PGM-ID,XCTL
PGM_TZDMMP,PGM_TZ935R,LINK
PGM_TZDPFP,PGM_&COM-ORIG-PROGID,XCTL
PGM_TZDPFP,PGM_TP0054R,LINK
PGM_TZDPFP,PGM_TZDVAP,XCTL
PGM_TZDPFP,PGM_TZOCDP,XCTL
PGM_TZDPFP,PGM_TZOTDP,XCTL
PGM_TZDPFP,PGM_TZT51S,LINK
PGM_TZDPFP,PGM_TZT52S,LINK
PGM_TZDPFP,PGM_TZT54S,LINK
PGM_TZDPFP,PGM_TZ100P,LINK
PGM_TZDPFP,PGM_TZ550P,LINK
PGM_TZDPFP,PGM_TZ550P,XCTL
PGM_TZDPFP,PGM_TZ901R,LINK
PGM_TZDPFP,PGM_TZ902R,LINK
PGM_TZDPFP,PGM_TZ903R,LINK
PGM_TZDPFP,PGM_TZ905R,LINK
PGM_TZDPFP,PGM_TZ920R,LINK
PGM_TZDPFP,PGM_TZ935R,LINK
PGM_TZDPFP,PGM_TZ951R,LINK
PGM_TZDPFP,PGM_TZ953R,LINK
PGM_TZDUIP,PGM_&COM-ORIG-PROGID,XCTL
PGM_TZDUIP,PGM_&COM-PREV-PROGID,XCTL
PGM_TZDUIP,PGM_&WS-TZB005R-PROGID,CALL
PGM_TZDUIP,PGM_&WS-TZ003R,LINK
PGM_TZDUIP,PGM_TYT08S,LINK
PGM_TZDUIP,PGM_TZT51S,LINK
PGM_TZDUIP,PGM_TZ051R,LINK
PGM_TZDUIP,PGM_TZ901R,LINK
PGM_TZDUIP,PGM_TZ903R,LINK
PGM_TZDUIP,PGM_TZ904R,LINK
PGM_TZDUIP,PGM_TZ935R,LINK
PGM_TZDVAP,FIL_TZPARA,READ
PGM_TZDVAP,PGM_&WS-LINK-PROGID,CALL
PGM_TZDVAP,PGM_AQ806R,LINK
PGM_TZDVAP,PGM_RU802R,LINK
PGM_TZDVAP,PGM_RU816R,LINK
PGM_TZDVAP,PGM_RU820R,LINK
PGM_TZDVAP,PGM_TYT08S,LINK
PGM_TZDVAP,PGM_TY212R,LINK
PGM_TZDVAP,PGM_TY213R,LINK
PGM_TZDVAP,PGM_TZCPVP,XCTL
PGM_TZDVAP,PGM_TZDPFP,XCTL
PGM_TZDVAP,PGM_TZT51S,LINK
PGM_TZDVAP,PGM_TZT52S,LINK
PGM_TZDVAP,PGM_TZ005R,LINK
PGM_TZDVAP,PGM_TZ051R,LINK
PGM_TZDVAP,PGM_TZ052R,LINK
PGM_TZDVAP,PGM_TZ055R,LINK
PGM_TZDVAP,PGM_TZ060R,LINK
PGM_TZDVAP,PGM_TZ061R,LINK
PGM_TZDVAP,PGM_TZ100P,LINK
PGM_TZDVAP,PGM_TZ901R,LINK
PGM_TZDVAP,PGM_TZ902R,LINK
PGM_TZDVAP,PGM_TZ903R,LINK
PGM_TZDVAP,PGM_TZ904R,LINK
PGM_TZDVAP,PGM_TZ914R,LINK
PGM_TZDVAP,PGM_TZ935R,LINK
PGM_TZDVAP,PGM_TZ936R,LINK
PGM_TZDVAP,PGM_TZ951R,LINK
PGM_TZDVAP,PGM_TZ953R,LINK
PGM_TZIARP,FIL_&WS-TZB005R-PROGID,CALL
PGM_TZIARP,FIL_TZCPMAS,READ
PGM_TZIARP,FIL_TZIALOG,WRITE
PGM_TZIARP,FIL_TZPARA,READ
PGM_TZIARP,PGM_&WS-LINK-PROGID,CALL
PGM_TZIARP,PGM_&WS-TZEIBR,CALL
PGM_TZIARP,PGM_AQ806R,LINK
PGM_TZIARP,PGM_RU802R,LINK
PGM_TZIARP,PGM_RU820R,LINK
PGM_TZIARP,PGM_TP0054R,LINK
PGM_TZIARP,PGM_TP0057R,LINK
PGM_TZIARP,PGM_TP8601R,LINK
PGM_TZIARP,PGM_TP8621R,LINK
PGM_TZIARP,PGM_TP8629R,LINK
PGM_TZIARP,PGM_TYT08S,LINK
PGM_TZIARP,PGM_TY217R,LINK
PGM_TZIARP,PGM_TZLACP,LINK
PGM_TZIARP,PGM_TZT51S,LINK
PGM_TZIARP,PGM_TZT54S,LINK
PGM_TZIARP,PGM_TZ051R,LINK
PGM_TZIARP,PGM_TZ052RG,LINK
PGM_TZIARP,PGM_TZ060R,LINK
PGM_TZIARP,PGM_TZ100P,LINK
PGM_TZIARP,PGM_TZ200P,LINK
PGM_TZIARP,PGM_TZ203R,LINK
PGM_TZIARP,PGM_TZ550P,LINK
PGM_TZIARP,PGM_TZ902R,LINK
PGM_TZIARP,PGM_TZ903R,LINK
PGM_TZIARP,PGM_TZ904R,LINK
PGM_TZIARP,PGM_TZ912R,LINK
PGM_TZIARP,PGM_TZ913R,LINK
PGM_TZIARP,PGM_TZ920R,LINK
PGM_TZIARP,PGM_TZ933R,LINK
PGM_TZIARP,PGM_TZ935R,LINK
PGM_TZIARP,PGM_TZ936R,LINK
PGM_TZIARP,PGM_TZ938R,LINK
PGM_TZIARP,PGM_UI028,LINK
PGM_TZLACP,FIL_TZPARA,READ
PGM_TZLACP,PGM_&W100-TZEIBR,CALL
PGM_TZLACP,PGM_&W100-TZ965R,LINK
PGM_TZLACP,PGM_RU820R,LINK
PGM_TZLALP,PGM_&COM-ORIG-PROGID,XCTL
PGM_TZLALP,PGM_&COM-PREV-PROGID,XCTL
PGM_TZLALP,PGM_&WS-TZB005R,CALL
PGM_TZLALP,PGM_TZT54S,LINK
PGM_TZLALP,PGM_TZ902R,LINK
PGM_TZLALP,PGM_TZ907R,LINK
PGM_TZLALP,PGM_TZ909R,LINK
PGM_TZLALP,PGM_TZ914R,LINK
PGM_TZLALP,PGM_TZ935R,LINK
PGM_TZLCLP,PGM_&WS-PROGID,XCTL
PGM_TZLCLP,PGM_&WS-TZB005R,CALL
PGM_TZLCLP,PGM_TY213R,LINK
PGM_TZLCLP,PGM_TZT54S,LINK
PGM_TZLCLP,PGM_TZ901R,LINK
PGM_TZLCLP,PGM_TZ902R,LINK
PGM_TZLCLP,PGM_TZ907R,LINK
PGM_TZLCLP,PGM_TZ914R,LINK
PGM_TZLCLP,PGM_TZ935R,LINK
PGM_TZLLIP,PGM_&COM-ORIG-PROGID,XCTL
PGM_TZLLIP,PGM_&COM-PREV-PROGID,XCTL
PGM_TZLLIP,PGM_TZT54S,LINK
PGM_TZLLIP,PGM_TZ901R,LINK
PGM_TZLLIP,PGM_TZ902R,LINK
PGM_TZLLIP,PGM_TZ914R,LINK
PGM_TZLLIP,PGM_TZ935R,LINK
PGM_TZL1P,PGM_&W100-TZEIBR,CALL
PGM_TZL1P,PGM_&W100-TZL2P,XCTL
PGM_TZL1P,PGM_&W100-TZL3P,XCTL
